vehicle_id 	time 	x_coordinate	y_coordinate	speed	category
2	23.67	385.022	517.914	6.291666667	1
3	23.67	476.74	35.219	11.11666667	1
4	23.67	436.107	1508.615	14.18055556	1
5	23.67	439.632	1494.472	14.34166667	1
6	23.67	459.157	97.622	7.636111111	1
7	23.67	308.254	1319.05	15.66944444	1
8	23.67	469.701	62.499	15.98888889	1
9	23.67	494.406	538.558	0.897222222	1
10	23.67	466.391	58.354	16.63333333	1
11	23.67	674.033	1345.779	14.88333333	1
12	23.67	473.395	567.554	17.03333333	1
13	23.67	250.293	1317.36	14.89722222	1
14	23.67	462.811	36.228	18.00833333	1
15	23.67	436.768	145.683	17.93055556	1
16	23.67	236.707	1320.132	15.9	1
17	23.67	439.326	1574.245	15.17222222	1
18	23.67	522.644	532.464	16.22777778	1
19	23.67	725.425	1343.603	13.36944444	1
20	23.67	554.227	536.523	10.47222222	1
21	23.67	327.887	527.531	15.91666667	1
22	23.67	763.552	1343.56	13.84722222	1
23	23.67	562.478	541.01	9.408333333	1
24	23.67	307.229	528.849	16.53888889	1
25	23.67	771.281	1351.919	13.71388889	1
26	23.67	475.018	-89.237	18.14166667	1
